timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:09:13.350695+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN1,CONN,1.0,51,53,47,49,2,52.0,611,1700,1700,611,True,
2026-02-07T01:09:13.820989+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN10,CONN,10.0,15,19,81,85,4,17.0,658,1361,1361,658,True,
2026-02-07T01:09:14.279584+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN13,CONN,13.0,6,13,87,94,7,9.5,268,61,61,268,True,
2026-02-07T01:09:14.802888+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN16,CONN,16.0,6,9,91,94,3,7.5,433,161,161,433,True,
2026-02-07T01:09:15.306870+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN4,CONN,4.0,33,38,62,67,5,35.5,533,1000,1000,533,True,
2026-02-07T01:09:15.744403+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN7,CONN,7.0,21,28,72,79,7,24.5,3621,1261,1261,3621,True,
2026-02-07T01:09:16.204223+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-SJU11,SJU,11.0,7,13,87,93,6,10.0,566,27,27,566,True,
2026-02-07T01:09:16.667968+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-SJU14,SJU,14.0,5,8,92,95,3,6.5,161,60,60,161,True,
2026-02-07T01:09:17.070672+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-SJU2,SJU,2.0,36,41,59,64,5,38.5,100,71,71,100,True,
2026-02-07T01:09:17.469285+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-SJU5,SJU,5.0,23,28,72,77,5,25.5,708,493,493,708,True,
2026-02-07T01:09:17.896531+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-SJU8,SJU,8.0,18,21,79,82,3,19.5,136,1160,1160,136,True,
2026-02-07T01:10:37.038028+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN1,CONN,1.0,45,46,54,55,1,45.5,4853,1200,1200,4853,True,
2026-02-07T01:10:37.458495+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN10,CONN,10.0,13,16,84,87,3,14.5,196,368,368,196,True,
2026-02-07T01:10:37.899163+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN13,CONN,13.0,6,10,90,94,4,8.0,159,59,59,159,True,
2026-02-07T01:10:38.436627+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN16,CONN,16.0,5,8,92,95,3,6.5,59,241,241,59,True,
2026-02-07T01:10:39.243124+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN4,CONN,4.0,30,34,66,70,4,32.0,308,1059,1059,308,True,
2026-02-07T01:10:39.773631+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN7,CONN,7.0,19,23,77,81,4,21.0,80,59,59,80,True,
2026-02-07T01:10:40.303502+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-SJU11,SJU,11.0,11,15,85,89,4,13.0,477,186,186,477,True,
2026-02-07T01:10:40.901846+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-SJU14,SJU,14.0,7,10,90,93,3,8.5,59,64,64,59,True,
2026-02-07T01:10:41.367753+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-SJU2,SJU,2.0,42,45,55,58,3,43.5,1450,20,20,1450,True,
2026-02-07T01:10:41.933505+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-SJU5,SJU,5.0,29,30,70,71,1,29.5,1425,8200,8200,1425,True,
2026-02-07T01:10:42.325742+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-SJU8,SJU,8.0,21,23,77,79,2,22.0,30,160,160,30,True,
2026-02-07T01:12:01.108742+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN1,CONN,1.0,50,55,45,50,5,52.5,427,561,561,427,True,
2026-02-07T01:12:02.025588+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN10,CONN,10.0,11,21,79,89,10,16.0,1200,520,520,1200,True,
2026-02-07T01:12:02.485666+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN13,CONN,13.0,9,15,85,91,6,12.0,420,420,420,420,True,
2026-02-07T01:12:02.857989+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN16,CONN,16.0,4,8,92,96,4,6.0,420,234,234,420,True,
2026-02-07T01:12:03.246727+00:00,KXNCAAMBSPREAD-26FEB06CONNSJU-CONN4,CONN,4.0,37,41,59,63,4,39.0,19,670,670,19,True,
