timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:09:18.334714+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR11,MURR,11.0,7,13,87,93,6,10.0,102,102,102,102,True,
2026-02-07T01:09:19.044121+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR14,MURR,14.0,4,9,91,96,5,6.5,99,102,102,99,True,
2026-02-07T01:09:19.484354+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR2,MURR,2.0,36,40,60,64,4,38.0,18,1300,1300,18,True,
2026-02-07T01:09:19.937516+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR5,MURR,5.0,23,28,72,77,5,25.5,102,102,102,102,True,
2026-02-07T01:09:20.370106+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR8,MURR,8.0,14,20,80,86,6,17.0,102,102,102,102,True,
2026-02-07T01:09:20.833607+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU1,SIU,1.0,48,54,46,52,6,51.0,1402,99,99,1402,True,
2026-02-07T01:09:22.490079+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU10,SIU,10.0,14,20,80,86,6,17.0,102,99,99,102,True,
2026-02-07T01:09:22.966149+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU13,SIU,13.0,7,12,88,93,5,9.5,102,102,102,102,True,
2026-02-07T01:09:23.447653+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU16,SIU,16.0,4,10,90,96,6,7.0,84,24,24,84,True,
2026-02-07T01:09:26.151900+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU4,SIU,4.0,35,39,61,65,4,37.0,60,60,60,60,True,
2026-02-07T01:09:26.717537+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU7,SIU,7.0,23,29,71,77,6,26.0,102,99,99,102,True,
2026-02-07T01:10:42.715285+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR11,MURR,11.0,8,15,85,92,7,11.5,124,1127,1127,124,True,
2026-02-07T01:10:43.157341+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR14,MURR,14.0,4,11,89,96,7,7.5,99,124,124,99,True,
2026-02-07T01:10:43.580415+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR2,MURR,2.0,37,43,57,63,6,40.0,502,124,124,502,True,
2026-02-07T01:10:44.034173+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR5,MURR,5.0,26,31,69,74,5,28.5,200,124,124,200,True,
2026-02-07T01:10:44.567058+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR8,MURR,8.0,14,22,78,86,8,18.0,102,102,102,102,True,
2026-02-07T01:10:44.974420+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU1,SIU,1.0,45,51,49,55,6,48.0,124,400,400,124,True,
2026-02-07T01:10:45.377624+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU10,SIU,10.0,10,19,81,90,9,14.5,500,124,124,500,True,
2026-02-07T01:10:46.859262+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU13,SIU,13.0,4,13,87,96,9,8.5,1149,124,124,1149,True,
2026-02-07T01:10:47.374339+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU16,SIU,16.0,4,9,91,96,5,6.5,102,124,124,102,True,
2026-02-07T01:10:48.168479+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU4,SIU,4.0,35,37,63,65,2,36.0,60,400,400,60,True,
2026-02-07T01:10:48.850517+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU7,SIU,7.0,19,27,73,81,8,23.0,1367,624,624,1367,True,
2026-02-07T01:12:06.450131+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR11,MURR,11.0,5,13,87,95,8,9.0,79,140,140,79,True,
2026-02-07T01:12:06.840212+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR14,MURR,14.0,3,9,91,97,6,6.0,129,140,140,129,True,
2026-02-07T01:12:07.234357+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR2,MURR,2.0,33,35,65,67,2,34.0,19,400,400,19,True,
2026-02-07T01:12:07.675132+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR5,MURR,5.0,19,26,74,81,7,22.5,1547,140,140,1547,True,
2026-02-07T01:12:08.363407+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-MURR8,MURR,8.0,10,18,82,90,8,14.0,1547,140,140,1547,True,
2026-02-07T01:12:09.374656+00:00,KXNCAAMBSPREAD-26FEB06MURRSIU-SIU1,SIU,1.0,55,60,40,45,5,57.5,400,124,124,400,True,
