t_utc,ticker,yes_bid_c,yes_ask_c,no_bid_c,no_ask_c,open_side,open_vwap_c,open_qty,pairs_count,locked_pnl_c,realized_pnl_c,mtm_pnl_c,total_pnl_c,stopped_out_yes,stopped_out_no,secs_to_close
2026-02-04T05:52:59.869100+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,90,91,9,10,,,0,0,0,0,0,0,0,0,1202820
2026-02-04T05:53:04.574193+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,90,92,8,10,no,10.0,3,0,0,0,-6,-6,0,0,1202815
2026-02-04T05:53:08.759198+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,90,92,8,10,no,10.0,3,0,0,0,-6,-6,0,0,1202811
2026-02-04T05:53:12.961164+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,90,92,8,10,no,10.0,3,0,0,0,-6,-6,0,0,1202807
2026-02-04T05:53:17.155457+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,90,92,8,10,no,10.0,3,0,0,0,-6,-6,0,0,1202803
2026-02-04T05:53:21.347213+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,91,92,8,9,no,10.0,3,0,0,0,-6,-6,0,0,1202798
2026-02-04T05:53:25.588539+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,91,92,8,9,no,10.0,3,0,0,0,-6,-6,0,0,1202794
2026-02-04T05:53:29.755956+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,91,92,8,9,no,10.0,3,0,0,0,-6,-6,0,0,1202790
2026-02-04T05:53:34.004966+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,91,92,8,9,no,10.0,3,0,0,0,-6,-6,0,0,1202786
2026-02-04T05:53:38.233053+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,91,92,8,9,no,10.0,3,0,0,0,-6,-6,0,0,1202781
2026-02-04T05:53:42.428735+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,91,92,8,9,no,10.0,3,0,0,0,-6,-6,0,0,1202777
2026-02-04T05:53:46.625216+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,91,92,8,9,no,10.0,3,0,0,0,-6,-6,0,0,1202773
2026-02-04T05:53:50.799962+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202769
2026-02-04T05:53:55.035284+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202765
2026-02-04T05:53:59.331944+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202760
2026-02-04T05:54:03.529240+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202756
2026-02-04T05:54:07.882068+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202752
2026-02-04T05:54:12.082788+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202748
2026-02-04T05:54:16.243661+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202743
2026-02-04T05:54:20.471623+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202739
2026-02-04T05:54:24.644407+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,93,94,6,7,no,10.0,3,0,0,0,-12,-12,0,0,1202735
2026-02-04T05:54:28.857665+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,93,94,6,7,no,10.0,3,0,0,0,-12,-12,0,0,1202731
2026-02-04T05:54:33.050591+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,93,94,6,7,no,10.0,3,0,0,0,-12,-12,0,0,1202727
2026-02-04T05:54:37.284938+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,94,95,5,6,no,10.0,3,0,0,0,-15,-15,0,0,1202722
2026-02-04T05:54:41.551638+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,93,94,6,7,no,10.0,3,0,0,0,-12,-12,0,0,1202718
2026-02-04T05:54:45.831845+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,93,94,6,7,no,10.0,3,0,0,0,-12,-12,0,0,1202714
2026-02-04T05:54:50.095396+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,93,94,6,7,no,10.0,3,0,0,0,-12,-12,0,0,1202710
2026-02-04T05:54:54.310287+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202705
2026-02-04T05:54:58.504439+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202701
2026-02-04T05:55:02.691934+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,92,93,7,8,no,10.0,3,0,0,0,-9,-9,0,0,1202697
2026-02-04T05:55:06.928180+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,91,92,8,9,no,10.0,3,0,0,0,-6,-6,0,0,1202693
2026-02-04T05:55:11.216191+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,90,91,9,10,no,10.0,3,0,0,0,-3,-3,0,0,1202689
2026-02-04T05:55:15.440601+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,90,91,9,10,no,10.0,3,0,0,0,-3,-3,0,0,1202684
2026-02-04T05:55:19.656760+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,88,89,11,12,no,10.0,3,0,0,0,3,3,0,0,1202680
2026-02-04T05:55:23.862938+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,88,89,11,12,no,10.0,3,0,0,0,3,3,0,0,1202676
2026-02-04T05:55:28.048031+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,88,89,11,12,no,10.0,3,0,0,0,3,3,0,0,1202672
2026-02-04T05:55:32.216400+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,88,90,10,12,no,10.0,3,0,0,0,0,0,0,0,1202667
