t_utc,ticker,yes_bid_c,yes_ask_c,no_bid_c,no_ask_c,open_side,open_vwap_c,open_qty,pairs_count,locked_pnl_c,realized_pnl_c,mtm_pnl_c,total_pnl_c,stopped_out_yes,stopped_out_no,secs_to_close
2026-02-04T05:22:48.242159+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,61,62,38,39,,,0,0,0,0,0,0,0,0,1204631
2026-02-04T05:22:53.225345+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,61,63,37,39,no,39.0,2,0,0,0,-4,-4,0,0,1204627
2026-02-04T05:22:57.471977+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,63,64,36,37,no,39.0,2,0,0,0,-6,-6,0,0,1204622
2026-02-04T05:23:01.726802+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,65,35,36,no,39.0,2,0,0,0,-8,-8,0,0,1204618
2026-02-04T05:23:05.946846+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,65,35,36,no,39.0,2,0,0,0,-8,-8,0,0,1204614
2026-02-04T05:23:10.163564+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,65,35,36,no,39.0,2,0,0,0,-8,-8,0,0,1204610
2026-02-04T05:23:14.370142+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,65,35,36,no,39.0,2,0,0,0,-8,-8,0,0,1204605
2026-02-04T05:23:18.668850+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,66,34,35,no,39.0,2,0,0,0,-10,-10,0,0,1204601
2026-02-04T05:23:22.865315+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,67,33,35,no,39.0,2,0,0,0,-12,-12,0,0,1204597
2026-02-04T05:23:27.110034+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,66,34,35,no,39.0,2,0,0,0,-10,-10,0,0,1204593
2026-02-04T05:23:31.364821+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,66,34,35,no,39.0,2,0,0,0,-10,-10,0,0,1204588
2026-02-04T05:23:35.621835+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,66,34,35,no,39.0,2,0,0,0,-10,-10,0,0,1204584
2026-02-04T05:23:39.876332+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204580
2026-02-04T05:23:44.058101+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,61,67,33,39,no,39.0,2,0,0,0,-12,-12,0,0,1204576
2026-02-04T05:23:48.311905+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,66,67,33,34,no,39.0,2,0,0,0,-12,-12,0,0,1204571
2026-02-04T05:23:52.585706+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,66,34,36,no,39.0,2,0,0,0,-10,-10,0,0,1204567
2026-02-04T05:23:56.776900+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,67,33,35,no,39.0,2,0,0,0,-12,-12,0,0,1204563
2026-02-04T05:24:00.956485+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,66,34,36,no,39.0,2,0,0,0,-10,-10,0,0,1204559
2026-02-04T05:24:05.145679+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,66,34,35,no,39.0,2,0,0,0,-10,-10,0,0,1204555
2026-02-04T05:24:09.371496+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,66,34,36,no,39.0,2,0,0,0,-10,-10,0,0,1204550
2026-02-04T05:24:13.550449+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,66,34,36,no,39.0,2,0,0,0,-10,-10,0,0,1204546
2026-02-04T05:24:17.773391+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,66,34,36,no,39.0,2,0,0,0,-10,-10,0,0,1204542
2026-02-04T05:24:21.972639+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,64,66,34,36,no,39.0,2,0,0,0,-10,-10,0,0,1204538
2026-02-04T05:24:26.165754+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,66,34,35,no,39.0,2,0,0,0,-10,-10,0,0,1204534
2026-02-04T05:24:30.363576+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,67,33,35,no,39.0,2,0,0,0,-12,-12,0,0,1204529
2026-02-04T05:24:34.550833+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,66,34,35,no,39.0,2,0,0,0,-10,-10,0,0,1204525
2026-02-04T05:24:38.766390+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,67,33,35,no,39.0,2,0,0,0,-12,-12,0,0,1204521
2026-02-04T05:24:42.986050+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,67,33,35,no,39.0,2,0,0,0,-12,-12,0,0,1204517
2026-02-04T05:24:47.188416+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,67,33,35,no,39.0,2,0,0,0,-12,-12,0,0,1204513
2026-02-04T05:24:51.430008+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,67,33,35,no,39.0,2,0,0,0,-12,-12,0,0,1204508
2026-02-04T05:24:55.673533+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,66,67,33,34,no,39.0,2,0,0,0,-12,-12,0,0,1204504
2026-02-04T05:24:59.845189+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,65,67,33,35,no,39.0,2,0,0,0,-12,-12,0,0,1204500
2026-02-04T05:25:04.017495+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204496
2026-02-04T05:25:08.194731+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204491
2026-02-04T05:25:12.368430+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,66,68,32,34,no,39.0,2,0,0,0,-14,-14,0,0,1204487
2026-02-04T05:25:16.734887+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204483
2026-02-04T05:25:20.944082+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204479
2026-02-04T05:25:25.113276+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204475
2026-02-04T05:25:29.284780+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,66,68,32,34,no,39.0,2,0,0,0,-14,-14,0,0,1204470
2026-02-04T05:25:33.458613+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,66,68,32,34,no,39.0,2,0,0,0,-14,-14,0,0,1204466
2026-02-04T05:25:37.681232+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,66,68,32,34,no,39.0,2,0,0,0,-14,-14,0,0,1204462
2026-02-04T05:25:41.880816+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,66,68,32,34,no,39.0,2,0,0,0,-14,-14,0,0,1204458
2026-02-04T05:25:46.050361+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204454
2026-02-04T05:25:50.242706+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204449
2026-02-04T05:25:54.503310+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204445
2026-02-04T05:25:58.674721+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204441
2026-02-04T05:26:02.849019+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204437
2026-02-04T05:26:07.020023+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,67,68,32,33,no,39.0,2,0,0,0,-14,-14,0,0,1204433
