created_time,ticker,order_id,action,side,count,yes_price,no_price,price,fee_cents,trade_id
2026-02-06T02:03:36.02287Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,8c44ae3b-4abf-42ab-b129-ba6fc03dacb1,sell,yes,2,91,9,0.91,1.15,0fc6382c-5d59-448a-4847-0f4c5d182283
2026-02-06T02:03:05.039345Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,9d73d8a1-10d2-46a0-a0cf-4bafdca2ad51,buy,no,2,96,4,0.96,0.54,86f03bc6-def8-5520-257b-8e2fa000da49
2026-02-06T02:02:36.371528Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,41b4a45e-38ae-46ca-b44c-cd0b1a734452,buy,no,4,88,12,0.88,2.96,766f511c-c8f8-51e3-6aae-b2e95b5e9614
2026-02-06T02:01:44.661968Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,e6d05bfe-1833-4d2d-beca-5c9600937154,buy,no,4,88,12,0.88,2.96,14e5616d-7573-775e-7c11-5389a04c6c9b
2026-02-06T02:01:39.904898Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,d553b8ea-fd0e-4dbc-a657-30c69451f8d3,sell,yes,2,92,8,0.92,1.03,86dd0191-245b-7363-2637-38e4ad979075
2026-02-06T02:01:13.73198Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,e7628765-89dc-4d45-99c6-a50ef894fa76,sell,no,1,82,18,0.82,1.03,987edca9-eff0-77c7-dfc0-56bef5cd4220
2026-02-06T02:01:13.343401Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,de7a90ce-4a12-4435-88cb-4731398ae0d0,sell,no,4,82,18,0.82,4.13,7c1e8206-e0c8-5207-9bf7-de41f1b528b8
2026-02-06T02:00:58.288632Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,80c2f527-8beb-46f6-ac29-b5e4424c3a8a,buy,no,2,74,26,0.74,2.69,6d309dd3-9f41-5be7-2d81-c02a94c60274
2026-02-06T01:58:46.528324Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,739a0e63-4089-4f69-a6bf-c6ffa062b939,buy,yes,1,65,35,0.65,1.59,c631adae-42bf-7c9a-28fd-0b2e28256975
2026-02-06T01:58:22.930362Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,b1631237-4ead-4881-9638-11c4e442180c,buy,yes,3,66,34,0.66,4.71,35434a26-38e1-6d2c-df0f-8d2d046f0d23
2026-02-06T01:58:11.202815Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,c0394b39-019e-4842-a9b2-6c125a5f6ea7,buy,yes,4,65,35,0.65,6.37,497db7e5-3db5-6a0a-28ec-d6286208e004
2026-02-06T01:58:10.550477Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,f184063b-d9fc-411a-8184-fee945cc9962,buy,yes,2,65,35,0.65,3.19,8f8883ee-5c3d-4f6a-8836-9dc41c473f10
2026-02-06T01:56:38.76319Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,721ef23a-d9af-43b5-baf7-4d94c052b7a2,sell,yes,2,84,16,0.84,1.88,70f4a160-fa24-463c-68e3-8ed9193486d7
2026-02-06T01:56:38.195243Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,7e714ab5-b9e8-4c9b-a34e-edbe7ba48b55,sell,yes,2,84,16,0.84,1.88,414a435d-7b38-7a84-0e05-0e73f6ec750b
2026-02-06T01:43:49.09936Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,9b4082ba-79ae-4afe-9127-a4fd4d520016,buy,no,2,92,8,0.92,1.03,8b9be08a-1860-6804-e611-0d843a1f17c4
2026-02-06T01:43:17.610674Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,6f05d617-dc4a-42ff-8664-5be0b6ff2109,buy,no,2,91,9,0.91,1.15,082213ef-f419-4925-a629-bc6ddb613e2f
2026-02-06T01:41:11.50674Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,8e87318d-901d-4f96-9a47-fddff731181c,buy,no,2,86,14,0.86,1.69,c3f42a65-88b2-705f-f1a9-64d05adc2f03
2026-02-06T01:39:34.131633Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,aa78ed7e-8588-44c3-98de-9d074c09e977,buy,no,3,82,18,0.82,3.10,9ff11dfc-73e5-42ed-7116-d8f1898d6ca7
2026-02-06T01:39:27.064971Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,1a3b6c33-32e4-4ae2-b777-a5c3c420ff3c,buy,yes,4,83,17,0.83,3.95,2d8d8572-5150-6230-53a0-1d1655ff22b9
2026-02-06T01:39:26.646477Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,31b9ff24-907c-4a5b-8f4f-8e3fa230b311,buy,yes,4,83,17,0.83,3.95,8387c92c-db30-60d4-b340-b2e7cdbe120d
2026-02-06T01:35:13.281035Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,f9c5c229-38c7-4017-b8b6-66c7f0c8acf2,sell,yes,2,84,16,0.84,1.88,625d9645-175b-4878-7bc8-e4a3fdebaec0
2026-02-06T01:35:11.791033Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,9162dc66-c2f4-4605-bfe3-d59a6aeb26dc,sell,yes,2,84,16,0.84,1.88,c0c1ef7a-ff97-5030-669e-29d595658678
2026-02-06T01:21:12.258727Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,27331dfc-1afd-4037-89b2-a23585392eeb,buy,no,4,93,7,0.93,1.82,fcc280db-6d50-41e3-ac13-0194e2eba00a
2026-02-06T01:20:48.494306Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,eb8d810c-039b-4b43-8d61-a1d0721afb54,buy,no,2,93,7,0.93,0.91,091a4b6a-254f-6941-a1bb-0d5c3f845422
2026-02-06T01:20:25.210015Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,6c943371-f593-477c-b6ff-59c6ead56ec7,buy,no,4,93,7,0.93,1.82,f58d123e-a78d-5a96-5b2e-e3387cafe250
2026-02-06T01:20:24.68686Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,5699496d-42e8-42a9-9348-66ca18986586,sell,yes,2,95,5,0.95,0.67,0c19c058-2b21-43f9-d447-290f0c848867
2026-02-06T01:20:24.122136Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,49420de8-0221-4607-8217-c33095344fc4,sell,yes,3,95,5,0.95,1.00,7374d24d-2805-5141-9139-bee53a34216f
2026-02-06T01:20:16.127709Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,2cafa472-5760-4c32-b8ae-6cbf4fdca355,buy,no,2,92,8,0.92,1.03,353cfaaf-f947-78aa-570d-f25ae1d993d9
2026-02-06T00:43:28.148657Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,2b84dd4f-110a-4abc-bcba-8dc97d7c3658,buy,no,2,76,24,0.76,2.55,a75a9e45-ec25-6675-4262-0a24919cadb2
2026-02-06T00:43:27.597358Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,a79c9c3e-57ca-4297-800b-d2eddacf6f86,buy,yes,4,77,23,0.77,4.96,edc04b63-5c3a-40e4-9f0d-c0d9a65c38fa
2026-02-06T00:42:17.230548Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,e1769ec2-0176-402a-9969-44a776e513fd,buy,no,3,77,23,0.77,3.72,14a009dc-4f85-4aef-d6ea-326ad10ef4ab
2026-02-06T00:42:16.530965Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,744fc1f9-2c10-47bb-8371-316eab9952bb,buy,yes,4,78,22,0.78,4.80,dd0e5cf9-eaf6-5f81-be59-d5daed296874
2026-02-06T00:41:08.571949Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,70ecef6f-1ea4-4d69-8a71-71c8c19b76e9,sell,yes,3,80,20,0.8,3.36,192d18f0-977c-74da-8f0b-e35f9963868d
2026-02-06T00:41:08.19038Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,b62e60c7-c382-48b5-9ae2-330ac716e19e,sell,yes,2,80,20,0.8,2.24,02272653-e3e4-63aa-cd46-e8578355db51
2026-02-06T00:36:21.116029Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,2e14796c-41ba-4a3d-a5f8-72ad70dfad82,buy,no,4,87,13,0.87,3.17,bfe482b1-ef49-6f75-34f7-a0de8e911fff
2026-02-06T00:36:10.160145Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,14147194-ddf4-4b70-8745-e4522e6c56c2,buy,no,3,89,11,0.89,2.06,23b2ec0c-fcb9-662c-87ba-e0d5fe083f12
2026-02-06T00:35:33.613899Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,8a4c8742-7598-40b3-9fd1-03d9194cbda3,buy,no,2,88,12,0.88,1.48,432b4573-08b3-40d7-d3ab-39e516b3fd30
2026-02-06T00:35:33.194651Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,1c7ed669-2b45-4179-ac1e-720e89ab1028,buy,no,4,88,12,0.88,2.96,1be201de-73c7-47ff-1c96-febb552d4b1c
2026-02-06T00:35:32.363264Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,18088718-9a7a-444b-8622-37b537d6e8af,sell,yes,2,89,11,0.89,1.37,e6ab97d3-3c8d-513e-91ed-4686bf448fc4
2026-02-06T00:35:31.556152Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,3ba82ade-91b5-4daf-9fa1-8423fe99ded2,sell,yes,2,89,11,0.89,1.37,682920cb-13b1-76ae-f7e3-88dd9a785630
2026-02-06T00:23:27.408756Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,5f31c617-fd3d-42f3-af48-440f0a673c29,buy,no,2,71,29,0.71,2.88,31090b9f-5327-4083-3d69-73921771eb4d
2026-02-06T00:22:36.090385Z,KXNCAAMBGAME-26FEB05FAIRSHU-FAIR,dda8b7e3-0e21-4f12-8837-9d191fe3204c,buy,no,2,71,29,0.71,2.88,e417e97b-37fc-7727-96e1-9d0b80d26f8a
